,std,Date,pos_k,neg_k,pos_k_t,neg_k_t,pos_k_hl,neg_k_hl
343,25.902937779243135,2002-09-06,,,28.0,17.0,2.847821913468609e-98,5.96972350482631e-60
344,27.793677712266803,2002-09-09,,,29.0,18.0,9.34857525692929e-102,1.9596874784896414e-63
345,27.433360627772508,2002-09-10,,,30.0,19.0,3.068866733595134e-105,6.433086909710779e-67
346,25.345677126679476,2002-09-11,,,31.0,20.0,1.0074201436829809e-108,2.1117962757912746e-70
347,23.538498566969736,2002-09-12,,,32.0,21.0,3.3070688107375146e-112,6.9324160749543954e-74
348,21.616123193249475,2002-09-13,1.0,,0.0,22.0,1.0,2.2757115914640177e-77
349,18.671393216345567,2002-09-16,1.0,,0.0,23.0,1.0,7.470502623513925e-81
350,17.146744354114016,2002-09-17,1.0,,0.0,24.0,1.0,2.4523498345423292e-84
351,15.880194534935296,2002-09-18,1.0,,0.0,25.0,1.0,8.050354861064161e-88
352,16.62158260359018,2002-09-19,,,1.0,26.0,0.00032827106262212926,2.6426985447267654e-91
